name,kms_driven,fuel_type,company,car_age,Price
Hyundai Santro Xing,45000,Petrol,Hyundai,18,80000.0
Mahindra Jeep CL550,40,Diesel,Mahindra,19,425000.0000000002
Hyundai Grand i10,28000,Petrol,Hyundai,11,324999.9999999999
Ford EcoSport Titanium,36000,Diesel,Ford,11,575000.0000000001
Ford Figo,41000,Diesel,Ford,13,175000.00000000012
Hyundai Eon,25000,Petrol,Hyundai,12,189999.9999999999
Ford EcoSport Ambiente,24530,Diesel,Ford,9,830000.0000000005
Maruti Suzuki Alto,60000,Petrol,Maruti,10,249999.9999999998
Skoda Fabia Classic,60000,Petrol,Skoda,15,182000.00000000003
Maruti Suzuki Stingray,30000,Petrol,Maruti,10,315000.0000000002
Hyundai Elite i20,32000,Petrol,Hyundai,11,415000.00000000006
Mahindra Scorpio SLE,48660,Diesel,Mahindra,10,320000.00000000006
Hyundai Santro Xing,45000,Petrol,Hyundai,18,80000.0
Mahindra Jeep CL550,40,Diesel,Mahindra,19,425000.0000000002
Audi Q7,16934,Diesel,Audi,11,499999.99999999977
Mahindra Scorpio S10,43000,Diesel,Mahindra,9,349999.9999999997
Maruti Suzuki Alto,35550,Petrol,Maruti,11,159999.99999999997
Mahindra Scorpio S10,43000,Diesel,Mahindra,9,349999.9999999997
Mahindra Scorpio S10,39522,Diesel,Mahindra,9,310000.0000000002
Maruti Suzuki Alto,39000,Petrol,Maruti,10,75000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Maruti Suzuki Alto,72000,Petrol,Maruti,8,189999.9999999999
Maruti Suzuki Vitara,15975,Diesel,Maruti,9,289999.9999999999
Maruti Suzuki Alto,70000,Petrol,Maruti,17,95000.00000000001
Mahindra Bolero DI,23452,Diesel,Mahindra,8,180000.00000000003
Maruti Suzuki Swift,35522,Diesel,Maruti,11,385000.00000000023
Mahindra Scorpio S10,48508,Diesel,Mahindra,10,249999.9999999998
Maruti Suzuki Swift,15487,Petrol,Maruti,8,180000.00000000003
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Toyota Innova 2.0,82000,Diesel,Toyota,13,649999.9999999995
Renault Lodgy 85,20000,Diesel,Renault,7,689999.0000000002
Skoda Yeti Ambition,68000,Diesel,Skoda,13,448000.0000000002
Maruti Suzuki Baleno,32000,Diesel,Maruti,8,549000.0000000005
Renault Duster 110,38000,Diesel,Renault,13,501000.0
Renault Duster 85,27000,Diesel,Renault,12,489998.9999999997
Honda City 1.5,33000,Petrol,Honda,14,280000.0
Maruti Suzuki Alto,60000,Petrol,Maruti,10,249999.9999999998
Maruti Suzuki Dzire,46000,Diesel,Maruti,12,349999.0000000001
Honda Amaze,46000,Diesel,Honda,12,284999.0
Honda Amaze 1.5,36000,Diesel,Honda,10,344999.9999999997
Honda City,55000,Petrol,Honda,10,499998.9999999997
Datsun Redi GO,16000,Petrol,Datsun,8,235000.0
Maruti Suzuki SX4,36000,Petrol,Maruti,15,249998.99999999983
Mahindra Bolero DI,23452,Diesel,Mahindra,8,180000.00000000003
Maruti Suzuki Swift,35522,Diesel,Maruti,11,385000.00000000023
Mahindra Scorpio S10,48508,Diesel,Mahindra,10,249999.9999999998
Maruti Suzuki Swift,15487,Petrol,Maruti,8,180000.00000000003
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Mahindra Scorpio S10,35000,Diesel,Mahindra,10,395000.00000000035
Maruti Suzuki Swift,30874,Petrol,Maruti,8,219999.99999999983
Honda City ZX,15000,Diesel,Honda,8,170000.00000000012
Maruti Suzuki Wagon,29685,Petrol,Maruti,12,84999.99999999996
Ford Figo,41000,Diesel,Ford,13,175000.00000000012
Hyundai Eon,25000,Petrol,Hyundai,12,189999.9999999999
Tata Indigo eCS,130000,Diesel,Tata,8,199999.99999999997
Ford EcoSport Ambiente,24530,Diesel,Ford,9,830000.0000000005
Tata Indigo eCS,130000,Diesel,Tata,8,199999.99999999997
Mahindra Scorpio SLE,19000,Diesel,Mahindra,13,570000.0000000001
Volkswagen Polo Highline,60000,Petrol,Volkswagen,11,315000.0000000002
Skoda Fabia Classic,60000,Petrol,Skoda,15,182000.00000000003
Maruti Suzuki Stingray,30000,Petrol,Maruti,10,315000.0000000002
Chevrolet Spark LS,41000,Petrol,Chevrolet,15,109999.99999999991
Renault Duster 110PS,35000,Diesel,Renault,13,501000.0
Honda City,54000,Petrol,Honda,10,448998.9999999996
Datsun Redi GO,16000,Petrol,Datsun,8,235000.0
Skoda Fabia 1.2L,38200,Diesel,Skoda,14,159499.9999999999
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Renault Duster,50000,Diesel,Renault,11,449999.00000000035
Mahindra Scorpio S4,30000,Diesel,Mahindra,10,864999.9999999994
Mahindra Scorpio VLX,50000,Diesel,Mahindra,11,698999.9999999995
Mahindra Quanto C8,20000,Diesel,Mahindra,12,375000.00000000006
Ford EcoSport,39000,Petrol,Ford,8,489998.9999999997
Honda Brio,30000,Petrol,Honda,13,224999.00000000015
Hyundai i20 Magna,32000,Petrol,Hyundai,16,195000.00000000006
Toyota Corolla Altis,38000,Diesel,Toyota,15,351000.0000000001
Hyundai Verna Transform,45000,Petrol,Hyundai,17,159999.99999999997
Toyota Corolla Altis,35000,Petrol,Toyota,16,240000.00000000003
Honda City 1.5,50000,Petrol,Honda,20,90000.00000000001
Hyundai Elite i20,32000,Petrol,Hyundai,11,415000.00000000006
Skoda Fabia 1.2L,45863,Diesel,Skoda,14,155000.00000000012
BMW 3 Series,60500,Petrol,BMW,14,600000.0000000003
Maruti Suzuki A,12500,Petrol,Maruti,14,189500.0000000001
Toyota Etios GD,60000,Diesel,Toyota,12,349999.9999999997
Ford Figo Diesel,35000,Diesel,Ford,13,210000.0
Maruti Suzuki Swift,35000,Petrol,Maruti,11,390000.00000000035
Chevrolet Beat LT,45000,Diesel,Chevrolet,13,134999.99999999997
Mahindra XUV500 W8,38000,Diesel,Mahindra,12,701000.0
Hyundai i10 Magna,18000,Petrol,Hyundai,11,265000.00000000006
Hyundai Verna Fluidic,35000,Diesel,Hyundai,10,525000.0000000003
Maruti Suzuki Swift,13349,Petrol,Maruti,12,371999.9999999998
Maruti Suzuki Ertiga,29000,Petrol,Maruti,9,634999.9999999997
Ford EcoSport Titanium,44000,Diesel,Ford,11,549999.9999999998
Maruti Suzuki Ertiga,29000,Petrol,Maruti,9,575000.0000000001
Maruti Suzuki Ertiga,42000,Diesel,Maruti,12,484999.99999999965
Maruti Suzuki Alto,14000,Petrol,Maruti,13,155000.00000000012
Hyundai Grand i10,49000,Diesel,Hyundai,11,344999.9999999997
Honda Amaze 1.2,42000,Petrol,Honda,11,324999.9999999999
Hyundai i20 Asta,36200,Diesel,Hyundai,13,329499.99999999994
Ford Figo Diesel,50000,Diesel,Ford,11,195000.00000000006
Maruti Suzuki Eeco,55000,Petrol,Maruti,10,251111.00000000015
Maruti Suzuki Ertiga,45000,Petrol,Maruti,11,569999.0
Maruti Suzuki Esteem,51000,Petrol,Maruti,18,69998.99999999994
Maruti Suzuki Ritz,19000,Petrol,Maruti,11,299998.9999999999
Maruti Suzuki Dzire,46000,Petrol,Maruti,16,219999.99999999983
Maruti Suzuki Ritz,33000,Diesel,Maruti,12,399999.0000000002
Maruti Suzuki Swift,13349,Petrol,Maruti,12,371999.9999999998
Maruti Suzuki Dzire,104000,Diesel,Maruti,10,449999.99999999994
Toyota Etios Liva,55000,Petrol,Toyota,11,270000.00000000006
Hyundai i20 Sportz,33333,Diesel,Hyundai,14,349999.9999999997
Chevrolet Spark,33600,Petrol,Chevrolet,13,158399.99999999985
Maruti Suzuki Alto,5600,Petrol,Maruti,8,349999.9999999997
Nissan Micra XV,41000,Petrol,Nissan,14,178999.99999999994
Maruti Suzuki Swift,70000,Petrol,Maruti,18,124999.9999999999
Maruti Suzuki Alto,7500,Petrol,Maruti,7,199999.99999999997
Honda Amaze 1.5,45000,Diesel,Honda,12,299000.00000000006
Maruti Suzuki Alto,38000,Petrol,Maruti,10,219999.99999999983
Chevrolet Beat,30000,Petrol,Chevrolet,10,150000.00000000006
Honda City 1.5,35000,Petrol,Honda,15,284999.99999999994
Ford EcoSport Trend,24330,Diesel,Ford,9,830000.0000000005
Hyundai i20 Asta,65480,Petrol,Hyundai,16,210000.0
Maruti Suzuki Swift,41000,Petrol,Maruti,12,339999.99999999994
Tata Indica V2,20000,Petrol,Tata,19,90000.00000000001
Hindustan Motors Ambassador,200000,Diesel,Hindustan,25,70000.00000000001
Toyota Corolla Altis,70000,Petrol,Toyota,15,289998.9999999999
Toyota Corolla Altis,59000,Petrol,Toyota,13,349999.0000000001
Toyota Innova 2.5,99000,Diesel,Toyota,13,849998.9999999994
Volkswagen Jetta Highline,46000,Diesel,Volkswagen,11,749999.0000000005
Volkswagen Polo Comfortline,2800,Petrol,Volkswagen,10,399999.0000000002
Volkswagen Polo,32000,Petrol,Volkswagen,11,274999.00000000006
Renault Duster,50000,Diesel,Renault,11,449999.00000000035
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Nissan Sunny,45000,Petrol,Nissan,13,224999.00000000015
Hyundai Elite i20,21000,Petrol,Hyundai,7,599998.9999999999
Renault Kwid,11000,Petrol,Renault,9,244998.99999999983
Renault Duster,41000,Diesel,Renault,12,399999.0000000002
Ford EcoSport,39000,Petrol,Ford,8,489998.9999999997
Renault Duster,50000,Diesel,Renault,11,474998.99999999994
Mahindra Scorpio VLX,66000,Diesel,Mahindra,14,499998.9999999997
Maruti Suzuki Alto,3000,Petrol,Maruti,7,310000.0000000002
Chevrolet Spark LT,45000,Petrol,Chevrolet,15,84999.99999999996
